record_id,product_category,event_type,store_location,storage_condition,shelf_life_days,days_before_expiry,initial_stock,expected_daily_sales,actual_daily_sales,total_actual_sales,price_per_unit,supplier_reliability,temperature_deviation,historical_waste_rate,promotion_active,day_of_week,month,weather_score,waste_units,waste_percentage,financial_loss
166,Bakery,Normal,Near_Transport_Hub,Room_Temperature,1,1,21,20,14,14,8504,0.97,2.17,0.227,0,4,11,4,3,0.1429,25512
167,Fruits,Normal,Suburban,Refrigerated,6,3,235,70,75,225,12992,0.64,1.92,0.114,0,7,9,2,2,0.0085,25984
168,Frozen,Long_Weekend,Rural,Controlled_Atmosphere,169,125,7710,44,49,6125,65905,0.71,0.03,0.053,1,7,5,1,173,0.0224,11401565
169,Ready_to_Eat,Promo_Besar,Suburban,Refrigerated,1,1,108,89,103,103,58303,0.62,4.98,0.208,0,7,7,3,3,0.0278,174909
170,Meat,Normal,Rural,Frozen,6,1,138,108,52,52,93873,0.66,4.74,0.216,0,4,9,3,23,0.1667,2159079
171,Seafood,Ramadan,Urban_Center,Controlled_Atmosphere,1,1,110,116,173,110,71520,0.97,0.84,0.197,1,5,12,2,2,0.0182,143040
172,Bakery,Normal,Near_Transport_Hub,Refrigerated,3,2,82,43,49,82,17315,0.92,4.8,0.218,1,5,12,5,4,0.0488,69260
173,Meat,Normal,Rural,Room_Temperature,3,1,122,116,48,48,121034,0.99,0.16,0.191,0,5,4,5,21,0.1721,2541714
174,Bakery,Normal,Rural,Room_Temperature,1,1,52,53,44,44,25713,0.63,1.28,0.153,1,4,8,4,6,0.1154,154278
175,Frozen,Normal,Near_Transport_Hub,Refrigerated,152,148,14948,102,77,11396,74151,0.63,4.23,0.044,0,1,2,3,584,0.0391,43304184
176,Bakery,Pasca_Mudik,Urban_Center,Frozen,5,4,745,146,138,552,8406,0.84,2.17,0.146,0,2,7,5,52,0.0698,437112
177,Fruits,Normal,Urban_Center,Refrigerated,9,8,165,23,32,165,16485,0.72,3.31,0.127,1,1,4,2,3,0.0182,49455
178,Bakery,Normal,Near_Transport_Hub,Controlled_Atmosphere,4,3,117,35,35,105,9058,0.75,0.38,0.162,1,4,8,3,3,0.0256,27174
179,Meat,Natal_Tahun_Baru,Urban_Center,Refrigerated,7,3,440,122,115,345,49820,0.82,4.2,0.214,0,5,11,4,30,0.0682,1494600
180,Bakery,Normal,Urban_Center,Room_Temperature,1,1,35,37,43,35,9943,0.92,0.63,0.191,0,4,4,2,5,0.1429,49715
181,Bakery,Normal,Residential_Area,Controlled_Atmosphere,5,3,171,45,35,105,3405,0.91,0.62,0.203,0,4,3,2,17,0.0994,57885
182,Bakery,Pasca_Mudik,Urban_Center,Frozen,5,3,352,101,95,285,21744,0.84,0.19,0.173,1,5,11,4,17,0.0483,369648
183,Seafood,Normal,Near_Transport_Hub,Frozen,3,1,60,59,63,60,98491,0.94,4.29,0.244,0,2,3,3,2,0.0333,196982
184,Fruits,Natal_Tahun_Baru,Residential_Area,Refrigerated,6,4,289,68,54,216,68499,0.9,4.34,0.143,0,2,2,3,23,0.0796,1575477
185,Ready_to_Eat,Normal,Suburban,Room_Temperature,1,1,16,13,10,10,56178,0.68,1.84,0.245,0,1,11,1,5,0.3125,280890
186,Meat,Promo_Besar,Near_Transport_Hub,Frozen,4,1,110,94,95,95,57364,0.61,0.25,0.218,0,2,4,2,5,0.0455,286820
187,Snacks,Normal,Urban_Center,Controlled_Atmosphere,176,34,3277,79,102,3277,19664,0.7,0.81,0.035,0,6,5,4,3,0.0009,58992
188,Fruits,Normal,Rural,Controlled_Atmosphere,4,1,114,89,61,61,54051,0.82,0.59,0.104,0,4,2,3,13,0.114,702663
189,Fruits,Ramadan,Rural,Room_Temperature,5,2,68,28,14,28,57965,0.86,3.4,0.136,0,3,5,4,15,0.2206,869475
190,Ready_to_Eat,Long_Weekend,Rural,Room_Temperature,3,2,153,62,50,100,21140,0.94,4.38,0.202,1,2,12,3,32,0.2092,676480
191,Vegetables,Ramadan,Suburban,Frozen,3,2,216,105,141,216,20076,0.83,2.32,0.108,1,6,10,5,1,0.0046,20076
192,Snacks,Normal,Near_Transport_Hub,Frozen,112,7,164,24,39,164,31816,0.99,4.46,0.052,1,7,12,2,5,0.0305,159080
193,Meat,Normal,Urban_Center,Refrigerated,5,3,113,39,44,113,120202,0.66,3.93,0.21,1,4,11,4,3,0.0265,360606
194,Dairy,Normal,Suburban,Frozen,3,2,156,67,50,100,46070,0.89,1.13,0.184,0,1,7,5,12,0.0769,552840
195,Fruits,Back_to_School,Near_Transport_Hub,Frozen,9,3,269,82,87,261,29697,0.67,4.53,0.142,1,2,12,2,5,0.0186,148485
196,Meat,Normal,Urban_Center,Controlled_Atmosphere,7,3,276,81,61,183,26286,0.86,0.65,0.128,0,4,8,4,22,0.0797,578292
197,Meat,Normal,Urban_Center,Frozen,5,1,108,94,114,108,111845,0.65,4.15,0.137,0,1,5,1,4,0.037,447380
198,Seafood,Long_Weekend,Residential_Area,Room_Temperature,3,2,80,28,25,50,79445,0.88,2.4,0.185,1,1,2,5,12,0.15,953340
199,Snacks,Normal,Urban_Center,Frozen,142,60,4949,81,76,4560,35426,0.62,4.07,0.049,0,3,11,3,52,0.0105,1842152
200,Dairy,Hari_Raya_Idul_Adha,Suburban,Frozen,8,4,304,48,41,164,29420,0.93,0.91,0.141,0,3,7,4,44,0.1447,1294480
201,Bakery,Normal,Urban_Center,Room_Temperature,1,1,94,84,133,94,17357,0.67,1.9,0.183,1,6,12,2,3,0.0319,52071
202,Beverages,Normal,Rural,Frozen,36,34,3028,90,53,1802,48898,0.95,2.6,0.033,0,4,11,2,118,0.039,5769964
203,Frozen,Normal,Residential_Area,Refrigerated,32,21,685,30,22,462,79990,0.95,0.37,0.05,1,3,1,5,17,0.0248,1359830
204,Seafood,Normal,Near_Transport_Hub,Controlled_Atmosphere,1,1,80,62,71,71,196277,0.61,0.4,0.159,0,7,2,5,7,0.0875,1373939
205,Snacks,Normal,Near_Transport_Hub,Frozen,106,7,310,43,61,310,36007,0.89,1.82,0.039,1,6,4,1,2,0.0065,72014
206,Snacks,Pasca_Mudik,Urban_Center,Refrigerated,174,43,5715,112,117,5031,31818,0.64,3.05,0.033,0,4,4,4,76,0.0133,2418168
207,Bakery,Natal_Tahun_Baru,Urban_Center,Refrigerated,4,2,341,155,150,300,19345,0.6,3.68,0.206,0,5,8,5,25,0.0733,483625
208,Ready_to_Eat,Normal,Suburban,Refrigerated,2,1,90,85,60,60,49911,0.97,3.81,0.216,0,3,8,2,18,0.2,898398
209,Snacks,Normal,Residential_Area,Frozen,151,142,11037,79,55,7810,24043,0.87,4.61,0.031,0,2,9,5,435,0.0394,10458705
210,Vegetables,Pasca_Mudik,Residential_Area,Controlled_Atmosphere,7,6,951,128,119,714,3836,0.81,0.03,0.11,0,2,5,2,30,0.0315,115080
211,Dairy,Natal_Tahun_Baru,Rural,Room_Temperature,11,1,93,99,60,60,49271,0.9,4.32,0.172,0,2,9,3,10,0.1075,492710
212,Frozen,Mudik_Lebaran,Rural,Refrigerated,33,17,386,14,9,153,73073,0.93,4.56,0.056,0,7,10,5,50,0.1295,3653650
213,Seafood,Normal,Suburban,Refrigerated,2,1,57,63,55,55,98167,0.82,0.65,0.231,1,3,8,2,4,0.0702,392668
214,Dairy,Long_Weekend,Residential_Area,Frozen,10,9,436,31,19,171,39432,0.69,0.92,0.111,0,4,9,5,73,0.1674,2878536
215,Vegetables,Normal,Rural,Room_Temperature,6,5,510,83,59,295,45552,0.6,3.34,0.135,0,5,10,2,63,0.1235,2869776
216,Frozen,Back_to_School,Urban_Center,Controlled_Atmosphere,95,70,3718,48,73,3718,64146,0.81,0.51,0.05,1,6,4,3,1,0.0003,64146
217,Snacks,Pasca_Mudik,Urban_Center,Room_Temperature,145,55,8751,169,169,8751,33523,0.86,4.7,0.046,1,4,12,3,1,0.0001,33523
218,Fruits,Pasca_Mudik,Residential_Area,Room_Temperature,7,4,441,104,53,212,46471,0.61,3.37,0.123,0,5,2,5,51,0.1156,2370021
219,Snacks,Normal,Rural,Refrigerated,96,57,3650,55,45,2565,36063,0.66,1.1,0.046,0,7,9,3,94,0.0258,3389922
220,Vegetables,Promo_Besar,Urban_Center,Room_Temperature,2,1,21,20,21,21,38882,0.98,1.52,0.161,0,3,4,4,1,0.0476,38882
221,Meat,Normal,Residential_Area,Frozen,3,1,39,35,27,27,27128,0.94,4.66,0.233,0,5,2,3,4,0.1026,108512
222,Ready_to_Eat,Mudik_Lebaran,Rural,Frozen,1,1,8,8,4,4,22681,0.73,2.25,0.267,0,5,3,5,6,0.75,136086
223,Meat,Normal,Suburban,Room_Temperature,7,6,660,89,83,498,37603,0.87,1.66,0.178,0,7,5,4,35,0.053,1316105
224,Bakery,Hari_Raya_Idul_Adha,Suburban,Room_Temperature,3,1,21,13,10,10,23697,0.61,2.91,0.189,0,1,9,3,10,0.4762,236970
225,Meat,Normal,Suburban,Frozen,3,2,156,74,53,106,85820,0.6,1.19,0.23,0,6,3,5,17,0.109,1458940
226,Ready_to_Eat,Ramadan,Suburban,Controlled_Atmosphere,2,1,61,62,56,56,27324,0.75,0.04,0.206,0,3,7,4,2,0.0328,54648
227,Vegetables,Normal,Residential_Area,Frozen,7,3,247,85,85,247,45839,0.75,2.94,0.173,1,3,7,2,2,0.0081,91678
228,Beverages,Long_Weekend,Residential_Area,Refrigerated,286,72,3057,40,35,2520,47170,0.71,0.75,0.024,0,7,2,2,46,0.015,2169820
229,Beverages,Ramadan,Near_Transport_Hub,Room_Temperature,332,83,11769,156,131,10873,7827,0.65,2.96,0.023,0,5,3,1,140,0.0119,1095780
230,Frozen,Ramadan,Residential_Area,Refrigerated,102,11,770,54,44,484,78133,0.67,4.15,0.053,0,7,3,5,50,0.0649,3906650
231,Vegetables,Back_to_School,Residential_Area,Refrigerated,3,2,117,65,68,117,37256,0.94,2.52,0.133,1,1,3,4,4,0.0342,149024
232,Snacks,Natal_Tahun_Baru,Urban_Center,Controlled_Atmosphere,144,34,4316,141,120,4080,33278,0.81,0.37,0.029,0,2,8,4,25,0.0058,831950
233,Ready_to_Eat,Normal,Suburban,Frozen,2,1,22,18,13,13,36781,0.7,0.03,0.287,1,5,2,5,8,0.3636,294248
234,Vegetables,Mudik_Lebaran,Urban_Center,Room_Temperature,5,3,76,19,19,57,26962,0.84,4.96,0.131,1,5,9,4,12,0.1579,323544
235,Fruits,Promo_Besar,Residential_Area,Frozen,9,3,473,159,109,327,26206,0.64,2.54,0.141,0,5,12,1,27,0.0571,707562
236,Bakery,Long_Weekend,Near_Transport_Hub,Controlled_Atmosphere,1,1,27,26,16,16,4237,0.89,0.93,0.188,0,3,12,5,6,0.2222,25422
237,Beverages,Mudik_Lebaran,Suburban,Frozen,129,9,476,34,40,360,45317,0.67,0.18,0.025,1,2,2,3,15,0.0315,679755
238,Frozen,Ramadan,Residential_Area,Refrigerated,47,6,805,109,77,462,91406,0.74,4.82,0.043,0,2,8,4,59,0.0733,5392954
239,Snacks,Normal,Urban_Center,Frozen,103,15,1650,88,104,1560,21393,0.88,4.83,0.042,0,7,6,4,15,0.0091,320895
240,Beverages,Normal,Urban_Center,Controlled_Atmosphere,354,113,14200,103,106,11978,32028,0.98,0.52,0.021,0,2,5,1,105,0.0074,3362940
241,Bakery,Pasca_Mudik,Suburban,Controlled_Atmosphere,3,2,155,77,84,155,27450,0.87,0.91,0.2,1,6,4,3,1,0.0065,27450
242,Ready_to_Eat,Normal,Urban_Center,Refrigerated,1,1,86,70,55,55,72783,0.62,2.41,0.268,0,5,5,4,19,0.2209,1382877
243,Fruits,Normal,Residential_Area,Room_Temperature,3,2,151,83,62,124,50519,0.76,3.43,0.097,0,6,9,4,11,0.0728,555709
244,Seafood,Normal,Urban_Center,Frozen,3,2,65,33,30,60,148560,0.98,1.72,0.178,0,4,12,3,4,0.0615,594240
245,Meat,Pasca_Mudik,Residential_Area,Room_Temperature,2,1,90,73,42,42,45698,0.66,4.8,0.142,0,2,7,4,24,0.2667,1096752
246,Snacks,Pasca_Mudik,Rural,Controlled_Atmosphere,98,33,5034,166,118,3894,11486,0.88,0.06,0.048,0,6,2,4,44,0.0087,505384
247,Snacks,Pasca_Mudik,Rural,Frozen,62,27,1328,42,25,675,18038,0.83,3.25,0.041,0,3,6,3,76,0.0572,1370888
248,Beverages,Hari_Raya_Idul_Adha,Near_Transport_Hub,Frozen,267,75,2483,19,21,1575,32644,0.85,2.86,0.036,1,2,6,2,126,0.0507,4113144
249,Fruits,Ramadan,Near_Transport_Hub,Frozen,10,6,829,128,132,792,26930,0.67,0.12,0.136,0,6,12,1,6,0.0072,161580
250,Bakery,Back_to_School,Near_Transport_Hub,Refrigerated,1,1,102,110,95,95,11600,0.85,0.42,0.252,0,2,4,3,5,0.049,58000
251,Meat,Normal,Rural,Frozen,5,4,411,92,54,216,37709,0.99,3.49,0.145,0,6,12,5,63,0.1533,2375667
252,Fruits,Back_to_School,Near_Transport_Hub,Room_Temperature,4,2,120,60,48,96,44789,0.6,2.62,0.139,1,3,8,5,10,0.0833,447890
253,Fruits,Normal,Near_Transport_Hub,Frozen,6,1,79,75,75,75,78472,0.77,1.25,0.135,0,7,7,2,1,0.0127,78472
254,Snacks,Long_Weekend,Residential_Area,Frozen,96,84,6816,61,39,3276,9486,0.67,1.45,0.043,0,3,12,5,415,0.0609,3936690
255,Dairy,Promo_Besar,Urban_Center,Room_Temperature,4,2,159,74,70,140,5537,0.69,0.75,0.149,0,3,8,3,6,0.0377,33222
256,Bakery,Hari_Raya_Idul_Adha,Suburban,Refrigerated,3,2,25,11,7,14,11194,0.93,4.14,0.155,0,2,7,4,7,0.28,78358
257,Beverages,Natal_Tahun_Baru,Urban_Center,Room_Temperature,272,200,46646,183,154,30800,15394,0.85,0.21,0.038,0,3,8,3,1069,0.0229,16456186
258,Seafood,Promo_Besar,Suburban,Controlled_Atmosphere,3,1,78,69,42,42,128758,0.92,0.01,0.16,0,4,12,5,9,0.1154,1158822
259,Meat,Mudik_Lebaran,Residential_Area,Frozen,7,1,6,6,5,5,90300,0.92,0.63,0.151,0,7,11,3,1,0.1667,90300
260,Dairy,Natal_Tahun_Baru,Rural,Room_Temperature,7,1,139,124,98,98,40568,0.88,0.95,0.122,0,6,8,3,13,0.0935,527384
261,Meat,Normal,Suburban,Controlled_Atmosphere,4,2,133,74,58,116,103627,0.8,0.73,0.221,0,3,10,2,7,0.0526,725389
262,Frozen,Normal,Near_Transport_Hub,Room_Temperature,102,42,2577,65,83,2577,83576,0.86,0.22,0.063,1,1,4,1,4,0.0016,334304
263,Frozen,Ramadan,Residential_Area,Frozen,42,24,1314,59,52,1248,42359,0.86,4.64,0.06,0,6,1,3,15,0.0114,635385
264,Vegetables,Long_Weekend,Urban_Center,Frozen,6,1,15,15,13,13,17149,0.98,0.49,0.159,0,2,4,5,1,0.0667,17149
265,Snacks,Natal_Tahun_Baru,Near_Transport_Hub,Refrigerated,158,148,16430,94,89,13172,32988,0.95,0.83,0.032,0,3,11,2,251,0.0153,8279988
266,Vegetables,Pasca_Mudik,Rural,Frozen,5,4,427,95,39,156,17019,0.75,2.75,0.161,0,4,8,4,50,0.1171,850950
267,Ready_to_Eat,Normal,Suburban,Frozen,1,1,33,33,20,20,60562,0.93,3.45,0.216,0,5,10,5,6,0.1818,363372
268,Meat,Normal,Rural,Room_Temperature,3,2,84,40,23,46,140308,0.69,0.39,0.161,0,4,12,5,14,0.1667,1964312
269,Fruits,Normal,Residential_Area,Controlled_Atmosphere,4,1,58,48,49,49,59594,0.97,0.12,0.139,0,7,10,1,1,0.0172,59594
270,Fruits,Pasca_Mudik,Rural,Room_Temperature,8,5,726,158,92,460,56495,0.99,3.76,0.125,1,4,5,4,42,0.0579,2372790
271,Ready_to_Eat,Natal_Tahun_Baru,Residential_Area,Controlled_Atmosphere,2,1,117,97,66,66,18544,0.9,0.48,0.205,0,5,4,5,25,0.2137,463600
272,Seafood,Normal,Near_Transport_Hub,Frozen,1,1,95,91,80,80,74935,0.73,2.97,0.157,0,3,10,4,7,0.0737,524545
273,Seafood,Natal_Tahun_Baru,Suburban,Refrigerated,1,1,97,77,72,72,100414,0.61,3.47,0.169,0,1,6,2,15,0.1546,1506210
274,Snacks,Natal_Tahun_Baru,Residential_Area,Controlled_Atmosphere,139,37,5673,169,134,4958,39524,0.62,0.17,0.035,0,5,5,1,78,0.0137,3082872
275,Frozen,Ramadan,Rural,Refrigerated,34,19,3264,133,68,1292,81655,0.99,0.5,0.044,0,5,2,2,170,0.0521,13881350
276,Dairy,Normal,Residential_Area,Frozen,8,4,235,65,55,220,49847,0.74,3.13,0.126,0,5,5,1,4,0.017,199388
277,Snacks,Back_to_School,Suburban,Room_Temperature,103,51,6322,104,111,5661,39125,0.98,3.06,0.043,1,2,10,2,64,0.0101,2504000
278,Vegetables,Mudik_Lebaran,Suburban,Room_Temperature,7,2,111,34,45,90,12051,0.72,3.53,0.142,1,7,3,5,12,0.1081,144612
279,Snacks,Back_to_School,Urban_Center,Room_Temperature,100,19,428,18,17,323,32134,0.98,1.52,0.046,0,6,12,3,7,0.0164,224938
280,Meat,Normal,Residential_Area,Frozen,6,5,387,78,91,387,110095,0.61,0.4,0.21,1,7,10,4,3,0.0078,330285
281,Beverages,Mudik_Lebaran,Suburban,Room_Temperature,145,9,245,27,35,245,22685,0.98,1.11,0.033,1,2,2,2,4,0.0163,90740
282,Beverages,Natal_Tahun_Baru,Near_Transport_Hub,Room_Temperature,248,104,3197,25,29,3016,25506,0.76,4.7,0.031,0,6,12,1,27,0.0084,688662
283,Seafood,Pasca_Mudik,Near_Transport_Hub,Refrigerated,4,3,559,191,179,537,140226,0.76,1.52,0.263,0,4,5,5,7,0.0125,981582
284,Beverages,Long_Weekend,Near_Transport_Hub,Refrigerated,286,58,2537,25,35,2030,40809,0.65,2.07,0.029,1,5,12,2,54,0.0213,2203686
285,Meat,Natal_Tahun_Baru,Urban_Center,Refrigerated,2,1,152,137,215,152,70343,0.89,4.88,0.192,1,5,7,1,4,0.0263,281372
286,Meat,Normal,Suburban,Room_Temperature,7,1,69,58,60,60,145955,0.78,3.13,0.139,1,2,1,5,4,0.058,583820
287,Beverages,Pasca_Mudik,Urban_Center,Controlled_Atmosphere,151,56,9811,162,159,8904,33958,0.63,0.6,0.025,0,5,11,5,57,0.0058,1935606
288,Meat,Normal,Rural,Refrigerated,3,1,110,97,81,81,63399,0.97,0.25,0.171,1,6,5,5,12,0.1091,760788
289,Snacks,Normal,Near_Transport_Hub,Frozen,179,10,236,23,32,236,29834,0.93,3.79,0.048,1,4,3,1,4,0.0169,119336
290,Frozen,Pasca_Mudik,Suburban,Refrigerated,57,37,5639,163,121,4477,94269,0.97,4.93,0.044,0,3,5,5,167,0.0296,15742923
291,Ready_to_Eat,Pasca_Mudik,Residential_Area,Controlled_Atmosphere,2,1,143,141,174,143,22684,0.6,0.02,0.269,1,7,4,5,2,0.014,45368
292,Vegetables,Pasca_Mudik,Suburban,Refrigerated,7,2,389,160,174,348,23170,0.72,2.75,0.162,1,3,6,4,7,0.018,162190
293,Meat,Normal,Rural,Controlled_Atmosphere,5,1,75,78,56,56,80374,0.96,0.54,0.162,0,4,12,1,9,0.12,723366
294,Vegetables,Pasca_Mudik,Urban_Center,Room_Temperature,6,3,233,81,112,233,5042,0.74,1.88,0.143,1,5,7,2,2,0.0086,10084
295,Vegetables,Natal_Tahun_Baru,Rural,Controlled_Atmosphere,2,1,73,60,44,44,22833,0.69,0.3,0.107,0,7,4,1,10,0.137,228330
296,Snacks,Normal,Rural,Controlled_Atmosphere,153,135,6978,54,42,5670,11439,0.93,0.94,0.044,1,6,1,4,98,0.014,1121022
297,Dairy,Normal,Urban_Center,Refrigerated,8,4,57,12,13,52,25478,0.61,3.79,0.162,1,2,4,3,4,0.0702,101912
298,Bakery,Normal,Suburban,Frozen,1,1,85,91,66,66,20777,0.74,1.59,0.157,0,3,10,2,8,0.0941,166216
299,Snacks,Mudik_Lebaran,Suburban,Refrigerated,120,116,4699,31,29,3364,10643,0.77,0.89,0.042,0,7,12,4,174,0.037,1851882
300,Snacks,Normal,Near_Transport_Hub,Room_Temperature,71,60,1478,21,15,900,35500,0.79,4.74,0.031,0,3,6,4,107,0.0724,3798500
301,Vegetables,Mudik_Lebaran,Urban_Center,Refrigerated,5,1,35,21,32,32,21498,0.91,3.02,0.109,1,7,12,1,3,0.0857,64494
302,Snacks,Mudik_Lebaran,Residential_Area,Controlled_Atmosphere,90,80,2277,16,11,880,30153,0.63,0.21,0.045,0,4,10,3,181,0.0795,5457693
303,Bakery,Natal_Tahun_Baru,Residential_Area,Controlled_Atmosphere,1,1,101,83,60,60,8772,0.72,0.41,0.212,0,5,7,3,18,0.1782,157896
304,Seafood,Long_Weekend,Residential_Area,Refrigerated,2,1,61,47,63,61,176501,0.78,1.03,0.27,1,7,11,3,5,0.082,882505
305,Vegetables,Promo_Besar,Residential_Area,Refrigerated,6,5,856,138,155,775,7090,0.75,2.74,0.102,0,7,6,1,18,0.021,127620
306,Frozen,Natal_Tahun_Baru,Near_Transport_Hub,Frozen,127,52,4607,90,92,4607,37729,0.79,0.94,0.047,0,7,7,2,1,0.0002,37729
307,Meat,Normal,Urban_Center,Room_Temperature,7,4,471,91,105,420,31097,0.65,4.03,0.219,0,6,10,4,17,0.0361,528649
308,Snacks,Long_Weekend,Near_Transport_Hub,Frozen,88,24,1614,46,36,864,20515,0.88,1.35,0.05,0,1,1,5,77,0.0477,1579655
309,Beverages,Promo_Besar,Urban_Center,Room_Temperature,299,144,22044,138,135,19440,44981,0.64,2.36,0.034,0,1,11,5,243,0.011,10930383
310,Vegetables,Pasca_Mudik,Urban_Center,Controlled_Atmosphere,5,4,696,163,153,612,22308,0.72,0.04,0.176,0,6,10,3,14,0.0201,312312
311,Ready_to_Eat,Normal,Rural,Refrigerated,2,1,15,17,11,11,61364,0.71,0.66,0.217,0,1,12,1,6,0.4,368184
312,Meat,Ramadan,Rural,Room_Temperature,4,3,215,59,42,126,132985,0.61,4.92,0.23,0,7,3,4,38,0.1767,5053430
313,Seafood,Ramadan,Suburban,Room_Temperature,3,1,152,124,120,120,38768,0.67,1.99,0.194,0,7,9,2,17,0.1118,659056
314,Fruits,Normal,Near_Transport_Hub,Refrigerated,7,4,318,62,51,204,10376,0.64,2.66,0.109,0,5,11,3,21,0.066,217896
315,Fruits,Ramadan,Near_Transport_Hub,Controlled_Atmosphere,6,5,298,51,43,215,28582,0.73,0.01,0.085,1,4,2,5,16,0.0537,457312
316,Fruits,Normal,Urban_Center,Refrigerated,4,1,112,91,139,112,20963,0.88,0.6,0.146,1,6,11,5,0,0.0,0
317,Meat,Normal,Near_Transport_Hub,Refrigerated,7,4,230,49,61,230,107500,0.91,1.62,0.143,1,7,1,4,2,0.0087,215000
318,Fruits,Normal,Urban_Center,Controlled_Atmosphere,6,5,285,52,54,270,23857,0.82,0.43,0.128,1,4,12,3,6,0.0211,143142
319,Fruits,Long_Weekend,Urban_Center,Controlled_Atmosphere,5,1,12,10,8,8,48231,0.96,0.57,0.121,0,4,8,4,1,0.0833,48231
320,Snacks,Normal,Near_Transport_Hub,Controlled_Atmosphere,75,73,6932,91,134,6932,24846,0.76,0.63,0.051,1,5,6,1,2,0.0003,49692
321,Seafood,Normal,Urban_Center,Controlled_Atmosphere,2,1,88,94,144,88,119178,0.79,0.89,0.212,1,1,4,1,3,0.0341,357534
322,Frozen,Normal,Residential_Area,Frozen,157,137,9811,79,78,9811,59470,0.62,3.94,0.036,1,7,11,5,4,0.0004,237880
323,Meat,Natal_Tahun_Baru,Suburban,Refrigerated,2,1,132,122,176,132,140326,0.85,1.21,0.196,1,6,1,3,4,0.0303,561304
324,Meat,Long_Weekend,Urban_Center,Refrigerated,2,1,78,67,87,78,125441,0.68,1.69,0.216,0,4,6,1,1,0.0128,125441
325,Vegetables,Long_Weekend,Suburban,Refrigerated,6,2,73,30,27,54,30207,0.67,1.85,0.112,1,5,1,2,10,0.137,302070
326,Frozen,Long_Weekend,Urban_Center,Controlled_Atmosphere,50,1,6,6,6,6,92821,0.95,0.42,0.059,0,6,3,2,3,0.5,278463
327,Frozen,Normal,Suburban,Refrigerated,76,64,7586,103,90,5760,54478,0.74,0.02,0.042,1,5,2,5,158,0.0208,8607524
328,Snacks,Normal,Suburban,Frozen,66,25,763,26,28,700,36091,0.8,0.8,0.05,1,3,5,2,7,0.0092,252637
329,Dairy,Normal,Urban_Center,Room_Temperature,5,1,66,72,129,66,20420,0.89,2.96,0.134,1,6,6,2,0,0.0,0
330,Seafood,Natal_Tahun_Baru,Suburban,Controlled_Atmosphere,2,1,105,115,104,104,139259,0.66,0.93,0.214,0,2,8,2,1,0.0095,139259
331,Vegetables,Normal,Residential_Area,Refrigerated,4,1,29,27,32,29,14219,0.9,1.1,0.123,1,7,11,5,4,0.1379,56876
332,Seafood,Normal,Residential_Area,Controlled_Atmosphere,2,1,73,62,48,48,89658,0.7,0.43,0.183,0,2,10,1,10,0.137,896580
